BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	1
Frequency:    	240 Hz
Frames:       	2737
Start time:   	0.000

 Frame	  Time	    l gr.X	    l gr.Y	    l gr.Z	
   212	 0.883	     0.090	     0.006	    -0.161	
   213	 0.887	     0.090	     0.006	    -0.161	
   214	 0.892	     0.090	     0.006	    -0.161	
   215	 0.896	     0.090	     0.006	    -0.161	
   216	 0.900	     0.090	     0.006	    -0.161	
   217	 0.904	     0.090	     0.006	    -0.161	
   218	 0.908	     0.090	     0.006	    -0.160	
   219	 0.913	     0.090	     0.006	    -0.161	
   220	 0.917	     0.090	     0.006	    -0.161	
   221	 0.921	     0.090	     0.006	    -0.161	
   222	 0.925	     0.090	     0.006	    -0.161	
   223	 0.929	     0.090	     0.006	    -0.160	
   224	 0.933	     0.090	     0.006	    -0.160	
   225	 0.938	     0.090	     0.006	    -0.160	
   226	 0.942	     0.090	     0.006	    -0.160	
   227	 0.946	     0.090	     0.006	    -0.160	
   228	 0.950	     0.090	     0.006	    -0.160	
   229	 0.954	     0.090	     0.006	    -0.161	
   230	 0.958	     0.090	     0.006	    -0.161	
   231	 0.962	     0.090	     0.006	    -0.160	
   232	 0.967	     0.090	     0.006	    -0.160	
   233	 0.971	     0.090	     0.006	    -0.160	
   234	 0.975	     0.090	     0.006	    -0.161	
   235	 0.979	     0.090	     0.006	    -0.160	
   236	 0.983	     0.090	     0.006	    -0.160	
   237	 0.988	     0.090	     0.006	    -0.160	
   238	 0.992	     0.090	     0.006	    -0.160	
   239	 0.996	     0.090	     0.006	    -0.160	
   240	 1.000	     0.090	     0.006	    -0.160	
   241	 1.004	     0.090	     0.006	    -0.160	
   242	 1.008	     0.090	     0.006	    -0.160	
   243	 1.013	     0.090	     0.006	    -0.160	
   244	 1.017	     0.090	     0.006	    -0.160	
   245	 1.021	     0.090	     0.006	    -0.159	
   246	 1.025	     0.090	     0.006	    -0.160	
   247	 1.029	     0.090	     0.006	    -0.160	
   248	 1.033	     0.090	     0.006	    -0.159	
   249	 1.038	     0.090	     0.006	    -0.159	
   250	 1.042	     0.090	     0.006	    -0.159	
   251	 1.046	     0.090	     0.006	    -0.160	
   252	 1.050	     0.090	     0.006	    -0.159	
   253	 1.054	     0.090	     0.006	    -0.159	
   254	 1.058	     0.090	     0.006	    -0.159	
   255	 1.063	     0.090	     0.006	    -0.159	
   256	 1.067	     0.090	     0.006	    -0.160	
   257	 1.071	     0.090	     0.006	    -0.159	
   258	 1.075	     0.090	     0.006	    -0.159	
   259	 1.079	     0.090	     0.006	    -0.159	
   260	 1.083	     0.090	     0.006	    -0.158	
   261	 1.087	     0.091	     0.006	    -0.158	
   262	 1.092	     0.090	     0.006	    -0.158	
   263	 1.096	     0.090	     0.006	    -0.159	
   264	 1.100	     0.090	     0.006	    -0.159	
   265	 1.104	     0.090	     0.006	    -0.158	
   266	 1.108	     0.090	     0.006	    -0.158	
   267	 1.112	     0.090	     0.006	    -0.158	
   268	 1.117	     0.090	     0.006	    -0.158	
   269	 1.121	     0.090	     0.006	    -0.157	
   270	 1.125	     0.090	     0.006	    -0.159	
   271	 1.129	     0.090	     0.006	    -0.158	
   272	 1.133	     0.090	     0.006	    -0.158	
   273	 1.138	     0.090	     0.006	    -0.158	
   274	 1.142	     0.090	     0.006	    -0.158	
   275	 1.146	     0.090	     0.006	    -0.158	
   276	 1.150	     0.091	     0.006	    -0.157	
   277	 1.154	     0.090	     0.006	    -0.158	
   278	 1.158	     0.090	     0.006	    -0.157	
   279	 1.163	     0.090	     0.006	    -0.157	
   280	 1.167	     0.090	     0.006	    -0.158	
   281	 1.171	     0.090	     0.006	    -0.158	
   282	 1.175	     0.090	     0.006	    -0.158	
   283	 1.179	     0.090	     0.006	    -0.158	
   284	 1.183	     0.090	     0.006	    -0.158	
   285	 1.188	     0.090	     0.006	    -0.158	
   286	 1.192	     0.090	     0.006	    -0.158	
   287	 1.196	     0.090	     0.006	    -0.158	
   288	 1.200	     0.090	     0.006	    -0.158	
   289	 1.204	     0.090	     0.006	    -0.158	
   290	 1.208	     0.090	     0.006	    -0.158	
   291	 1.212	     0.090	     0.006	    -0.158	
   292	 1.217	     0.090	     0.006	    -0.158	
   293	 1.221	     0.090	     0.006	    -0.158	
   294	 1.225	     0.090	     0.006	    -0.158	
   295	 1.229	     0.090	     0.006	    -0.158	
   296	 1.233	     0.090	     0.006	    -0.158	
   297	 1.237	     0.090	     0.006	    -0.158	
   298	 1.242	     0.090	     0.006	    -0.158	
   299	 1.246	     0.090	     0.006	    -0.158	
   300	 1.250	     0.090	     0.006	    -0.158	
   301	 1.254	     0.090	     0.006	    -0.159	
   302	 1.258	     0.090	     0.006	    -0.158	
   303	 1.263	     0.090	     0.006	    -0.158	
   304	 1.267	     0.090	     0.006	    -0.159	
   305	 1.271	     0.090	     0.006	    -0.159	
   306	 1.275	     0.090	     0.006	    -0.159	
   307	 1.279	     0.090	     0.006	    -0.158	
   308	 1.283	     0.090	     0.006	    -0.158	
   309	 1.288	     0.090	     0.006	    -0.159	
   310	 1.292	     0.090	     0.006	    -0.159	
   311	 1.296	     0.090	     0.006	    -0.159	
   312	 1.300	     0.090	     0.006	    -0.159	
   313	 1.304	     0.090	     0.006	    -0.159	
   314	 1.308	     0.090	     0.006	    -0.159	
   315	 1.313	     0.090	     0.006	    -0.159	
   316	 1.317	     0.090	     0.006	    -0.159	
   317	 1.321	     0.090	     0.006	    -0.159	
   318	 1.325	     0.090	     0.006	    -0.159	
   319	 1.329	     0.090	     0.006	    -0.159	
   320	 1.333	     0.090	     0.006	    -0.158	
   321	 1.337	     0.090	     0.006	    -0.158	
   322	 1.342	     0.090	     0.006	    -0.158	
   323	 1.346	     0.090	     0.006	    -0.159	
   324	 1.350	     0.090	     0.006	    -0.159	
   325	 1.354	     0.090	     0.006	    -0.158	
   326	 1.358	     0.090	     0.006	    -0.159	
   327	 1.362	     0.090	     0.006	    -0.159	
   328	 1.367	     0.090	     0.006	    -0.158	
   329	 1.371	     0.090	     0.006	    -0.159	
   330	 1.375	     0.090	     0.006	    -0.159	
   331	 1.379	     0.090	     0.006	    -0.159	
   332	 1.383	     0.090	     0.006	    -0.159	
   333	 1.388	     0.090	     0.006	    -0.159	
   334	 1.392	     0.090	     0.006	    -0.159	
   335	 1.396	     0.090	     0.006	    -0.159	
   336	 1.400	     0.090	     0.006	    -0.159	
   337	 1.404	     0.090	     0.006	    -0.159	
   338	 1.408	     0.090	     0.006	    -0.158	
   339	 1.413	     0.091	     0.006	    -0.159	
   340	 1.417	     0.090	     0.006	    -0.159	
   341	 1.421	     0.090	     0.006	    -0.159	
   342	 1.425	     0.090	     0.006	    -0.159	
   343	 1.429	     0.090	     0.006	    -0.159	
   344	 1.433	     0.090	     0.006	    -0.158	
   345	 1.438	     0.090	     0.006	    -0.159	
   346	 1.442	     0.090	     0.006	    -0.159	
   347	 1.446	     0.090	     0.006	    -0.159	
   348	 1.450	     0.090	     0.006	    -0.159	
   349	 1.454	     0.090	     0.006	    -0.159	
   350	 1.458	     0.090	     0.006	    -0.159	
   351	 1.462	     0.090	     0.006	    -0.159	
   352	 1.467	     0.090	     0.006	    -0.159	
   353	 1.471	     0.090	     0.006	    -0.159	
   354	 1.475	     0.090	     0.006	    -0.159	
   355	 1.479	     0.090	     0.006	    -0.159	
   356	 1.483	     0.090	     0.006	    -0.159	
   357	 1.487	     0.090	     0.006	    -0.159	
   358	 1.492	     0.090	     0.006	    -0.159	
   359	 1.496	     0.091	     0.006	    -0.159	
   360	 1.500	     0.091	     0.006	    -0.159	
   361	 1.504	     0.090	     0.006	    -0.159	
   362	 1.508	     0.090	     0.006	    -0.159	
   363	 1.513	     0.090	     0.006	    -0.159	
   364	 1.517	     0.090	     0.006	    -0.159	
   365	 1.521	     0.090	     0.006	    -0.159	
   366	 1.525	     0.091	     0.006	    -0.159	
   367	 1.529	     0.090	     0.006	    -0.158	
   368	 1.533	     0.090	     0.006	    -0.159	
   369	 1.538	     0.090	     0.006	    -0.159	
   370	 1.542	     0.090	     0.006	    -0.158	
   371	 1.546	     0.090	     0.006	    -0.159	
   372	 1.550	     0.090	     0.006	    -0.159	
   373	 1.554	     0.090	     0.006	    -0.159	
   374	 1.558	     0.090	     0.006	    -0.158	
   375	 1.563	     0.090	     0.006	    -0.158	
   376	 1.567	     0.090	     0.006	    -0.159	
   377	 1.571	     0.090	     0.006	    -0.159	
   378	 1.575	     0.090	     0.006	    -0.158	
   379	 1.579	     0.090	     0.006	    -0.159	
   380	 1.583	     0.091	     0.006	    -0.159	
   381	 1.587	     0.090	     0.006	    -0.159	
   382	 1.592	     0.090	     0.006	    -0.158	
   383	 1.596	     0.091	     0.006	    -0.158	
   384	 1.600	     0.090	     0.006	    -0.158	
   385	 1.604	     0.090	     0.006	    -0.158	
   386	 1.608	     0.090	     0.006	    -0.158	
   387	 1.612	     0.090	     0.006	    -0.159	
   388	 1.617	     0.090	     0.006	    -0.159	
   389	 1.621	     0.090	     0.006	    -0.158	
   390	 1.625	     0.091	     0.006	    -0.158	
   391	 1.629	     0.090	     0.006	    -0.159	
   392	 1.633	     0.090	     0.006	    -0.158	
   393	 1.638	     0.090	     0.006	    -0.158	
   394	 1.642	     0.090	     0.006	    -0.159	
   395	 1.646	     0.090	     0.006	    -0.159	
   396	 1.650	     0.091	     0.006	    -0.158	
   397	 1.654	     0.090	     0.006	    -0.158	
   398	 1.658	     0.090	     0.006	    -0.158	
   399	 1.663	     0.090	     0.006	    -0.158	
   400	 1.667	     0.090	     0.006	    -0.158	
   401	 1.671	     0.090	     0.006	    -0.159	
   402	 1.675	     0.090	     0.006	    -0.159	
   403	 1.679	     0.090	     0.006	    -0.158	
   404	 1.683	     0.090	     0.006	    -0.158	
   405	 1.688	     0.090	     0.006	    -0.158	
   406	 1.692	     0.091	     0.006	    -0.158	
   407	 1.696	     0.090	     0.006	    -0.158	
   408	 1.700	     0.090	     0.006	    -0.159	
   409	 1.704	     0.090	     0.006	    -0.158	
   410	 1.708	     0.091	     0.006	    -0.158	
   411	 1.712	     0.090	     0.006	    -0.158	
   412	 1.717	     0.090	     0.006	    -0.159	
   413	 1.721	     0.090	     0.006	    -0.158	
   414	 1.725	     0.090	     0.006	    -0.159	
   415	 1.729	     0.090	     0.006	    -0.158	
   416	 1.733	     0.090	     0.006	    -0.158	
   417	 1.737	     0.090	     0.006	    -0.159	
   418	 1.742	     0.090	     0.006	    -0.158	
   419	 1.746	     0.090	     0.006	    -0.158	
