BTS ASCII format

Type:         	Force 3D tracks
Measure unit: 	N

Tracks:       	2
Frequency:    	240 Hz
Frames:       	2737
Start time:   	0.000

 Frame	  Time	    r gr.X	    r gr.Y	    r gr.Z	    l gr.X	    l gr.Y	    l gr.Z	
   109	 0.454	    24.061	   248.357	     2.096	     1.785	   287.859	     6.811	
   110	 0.458	    22.978	   247.577	     1.557	     1.788	   287.613	     6.271	
   111	 0.463	    22.440	   247.580	     1.559	     1.794	   287.118	     5.191	
   112	 0.467	    22.980	   247.842	     1.559	     1.252	   287.117	     5.725	
   113	 0.471	    22.982	   248.356	     1.563	     1.246	   287.613	     6.805	
   114	 0.475	    22.981	   248.101	     1.561	     1.784	   286.861	     6.265	
   115	 0.479	    24.058	   248.355	     1.558	     0.720	   287.379	     5.184	
   116	 0.483	    22.981	   248.096	     1.561	     1.258	   288.122	     5.733	
   117	 0.488	    21.901	   247.323	     1.559	     1.252	   287.866	     6.269	
   118	 0.492	    22.984	   248.626	     1.566	     1.260	   287.627	     5.191	
   119	 0.496	    22.439	   247.844	     1.023	     1.247	   287.113	     6.263	
   120	 0.500	    22.977	   247.311	     1.554	     1.791	   288.115	     6.275	
   121	 0.504	    24.058	   247.826	     2.092	     0.712	   287.622	     6.262	
   122	 0.508	    22.439	   247.844	     1.023	     1.260	   287.627	     5.191	
   123	 0.512	    22.436	   247.324	     1.019	     1.250	   287.619	     6.267	
   124	 0.517	    22.442	   247.833	     1.561	     0.723	   287.882	     5.188	
   125	 0.521	    22.981	   248.096	     1.561	     1.254	   288.119	     6.271	
   126	 0.525	    22.442	   248.369	     1.028	     1.252	   287.869	     6.269	
   127	 0.529	    22.977	   247.311	     1.554	     1.258	   288.874	     6.277	
   128	 0.533	    23.523	   248.348	     2.099	     0.726	   289.133	     5.736	
   129	 0.538	    22.985	   248.351	     2.101	     2.332	   288.613	     6.284	
   130	 0.542	    22.986	   248.611	     2.103	     0.722	   288.377	     5.730	
   131	 0.546	    22.982	   248.355	     1.563	     0.185	   288.633	     5.728	
   132	 0.550	    22.980	   248.360	     1.025	     0.723	   288.627	     5.732	
   133	 0.554	    23.519	   248.087	     1.559	     1.257	   288.620	     6.275	
   134	 0.558	    22.443	   248.099	     1.563	     0.731	   289.137	     5.198	
   135	 0.563	    22.443	   248.099	     1.563	     1.804	   288.626	     5.203	
   136	 0.567	    21.900	   247.587	     1.023	     0.716	   288.125	     6.266	
   137	 0.571	    22.438	   247.579	     1.021	     1.260	   288.375	     5.735	
   138	 0.575	    22.979	   248.100	     1.023	    -0.347	   288.143	     4.643	
   139	 0.579	    22.971	   246.796	     1.012	     0.722	   288.383	     5.730	
   140	 0.583	    22.977	   247.311	     1.554	     1.252	   288.620	     6.813	
   141	 0.587	    22.435	   247.059	     1.016	     1.798	   288.375	     5.739	
   142	 0.592	    22.439	   247.314	     1.557	     0.720	   288.133	     5.728	
   143	 0.596	    23.520	   247.828	     2.094	     0.182	   288.136	     5.724	
   144	 0.600	    21.892	   246.547	     0.476	     1.793	   288.371	     6.277	
   145	 0.604	    23.515	   247.314	     1.552	     0.188	   287.641	     4.644	
   146	 0.608	    22.969	   246.277	     1.007	     0.177	   287.386	     5.718	
   147	 0.613	    23.511	   246.529	     1.545	     1.255	   288.374	     6.273	
   148	 0.617	    22.435	   246.535	     1.550	     1.255	   287.625	     5.729	
   149	 0.621	    22.431	   246.280	     1.010	     0.717	   288.382	     6.268	
   150	 0.625	    22.970	   246.536	     1.010	     1.791	   288.122	     6.275	
   151	 0.629	    22.967	   245.493	     1.539	     0.179	   288.382	     6.264	
   152	 0.633	    22.430	   245.756	     1.543	     1.257	   288.626	     6.275	
   153	 0.637	    22.429	   245.496	     1.541	     1.791	   288.122	     6.275	
   154	 0.642	    22.967	   246.017	     1.005	     0.726	   288.386	     5.192	
   155	 0.646	    22.972	   246.537	     1.548	     0.717	   288.379	     6.268	
   156	 0.650	    22.430	   245.756	     1.543	     1.257	   289.371	     6.819	
   157	 0.654	    23.511	   246.529	     1.545	     1.254	   288.871	     6.815	
   158	 0.658	    22.972	   246.537	     1.548	     1.260	   289.127	     6.279	
   159	 0.663	    22.972	   246.807	     1.012	     2.864	   289.108	     7.368	
   160	 0.667	    23.509	   246.269	     1.543	     0.720	   288.876	     6.272	
   161	 0.671	    22.973	   246.267	     2.083	     0.193	   289.142	     5.194	
   162	 0.675	    23.514	   247.578	     1.016	     1.258	   288.873	     6.277	
   163	 0.679	    22.973	   246.532	     1.548	     1.799	   289.373	     6.285	
   164	 0.683	    22.439	   247.314	     1.557	     0.196	   289.644	     5.198	
   165	 0.688	    22.977	   247.316	     1.554	     2.337	   289.371	     6.290	
   166	 0.692	    22.978	   247.576	     1.557	     1.799	   289.373	     6.285	
   167	 0.696	    22.437	   247.060	     1.555	     0.720	   288.877	     6.272	
   168	 0.700	    22.977	   247.311	     1.554	     1.268	   289.631	     5.745	
   169	 0.704	    22.436	   247.318	     1.019	     1.258	   288.878	     6.277	
   170	 0.708	    22.970	   246.536	     1.010	     1.258	   289.624	     6.821	
   171	 0.712	    22.439	   247.313	     1.557	     2.872	   288.864	     6.291	
   172	 0.717	    22.430	   246.538	     0.474	     1.799	   289.375	     6.285	
   173	 0.721	    22.430	   246.533	     0.474	     1.792	   288.869	     6.819	
   174	 0.725	    22.435	   247.053	     1.016	     0.722	   289.131	     6.274	
   175	 0.729	    23.513	   247.042	     1.550	     1.795	   288.625	     6.279	
   176	 0.733	    23.518	   247.827	     1.556	     0.730	   288.889	     5.196	
   177	 0.738	    22.973	   247.050	     1.014	     1.788	   288.371	     6.815	
   178	 0.742	    22.973	   247.580	     0.481	     1.266	   288.636	     5.199	
   179	 0.746	    22.435	   247.582	     0.483	     1.252	   287.873	     6.269	
   180	 0.750	    22.979	   248.089	     1.023	     0.717	   288.385	     6.268	
   181	 0.754	    22.972	   247.314	     0.478	     1.254	   288.128	     6.271	
   182	 0.758	    22.978	   247.565	     1.556	     0.723	   288.636	     5.732	
   183	 0.762	    22.977	   247.823	     1.021	     1.788	   287.625	     6.271	
   184	 0.767	    22.439	   247.302	     1.557	     0.720	   287.390	     5.184	
   185	 0.771	    22.977	   247.299	     1.554	     0.178	   288.138	     6.262	
   186	 0.775	    22.979	   248.089	     1.023	     1.784	   287.620	     6.809	
   187	 0.779	    23.518	   247.821	     1.556	     1.787	   288.125	     6.813	
   188	 0.783	    22.978	   248.358	     0.487	     0.722	   287.643	     5.186	
   189	 0.788	    23.518	   248.351	     1.023	     1.782	   287.374	     6.807	
   190	 0.792	    22.978	   248.353	     0.487	     1.788	   287.628	     6.271	
   191	 0.796	    22.440	   248.356	     0.490	     1.257	   287.138	     5.187	
   192	 0.800	    22.981	   248.602	     1.027	     0.719	   287.141	     5.182	
   193	 0.804	    22.979	   248.612	     0.489	     1.241	   286.873	     6.799	
   194	 0.808	    23.514	   248.084	     0.482	     0.714	   287.141	     5.720	
   195	 0.813	    23.518	   248.863	     0.489	     1.790	   287.134	     5.729	
   196	 0.817	    22.978	   248.876	    -0.046	     1.246	   286.881	     6.261	
   197	 0.821	    22.439	   248.350	     0.490	     1.778	   286.621	     6.801	
   198	 0.825	    22.980	   248.866	     0.492	     0.712	   286.890	     5.718	
   199	 0.829	    23.518	   248.863	     0.489	     1.781	   286.380	     6.261	
   200	 0.833	    22.980	   248.866	     0.492	     0.708	   287.636	     6.800	
   201	 0.837	    22.975	   247.822	     0.483	     1.791	   286.638	     5.187	
   202	 0.842	    22.979	   248.607	     0.489	     0.712	   286.145	     5.174	
   203	 0.846	    22.972	   247.826	    -0.055	     0.705	   285.640	     5.708	
   204	 0.850	    22.975	   247.822	     0.483	    -0.373	   286.143	     6.241	
   205	 0.854	    24.059	   248.856	     1.025	     0.171	   285.649	     5.166	
   206	 0.858	    22.978	   248.871	    -0.046	     0.171	   287.145	     6.254	
   207	 0.863	    22.977	   248.611	    -0.049	     1.781	   286.380	     6.261	
   208	 0.867	    22.977	   249.141	    -0.582	     0.709	   286.395	     5.714	
   209	 0.871	    22.979	   249.136	    -0.044	     1.244	   286.632	     6.259	
   210	 0.875	    22.440	   248.874	    -0.044	     1.781	   286.380	     6.261	
   211	 0.879	    23.518	   248.863	     0.489	     0.708	   286.887	     6.256	
   212	 0.883	    22.443	   249.398	    -0.039	     1.250	   286.888	     5.723	
   213	 0.887	    22.980	   248.861	     0.492	     1.782	   286.629	     6.263	
   214	 0.892	    22.979	   249.136	    -0.044	    -0.361	   286.654	     5.169	
   215	 0.896	    23.521	   249.388	     0.494	     0.168	   286.642	     6.250	
   216	 0.900	    23.524	   249.378	     1.032	     1.240	   286.628	     6.797	
   217	 0.904	    23.520	   249.123	     0.491	     1.778	   286.627	     6.801	
   218	 0.908	    22.440	   248.874	    -0.044	     0.708	   286.891	     6.256	
   219	 0.913	    22.982	   249.126	     0.494	     1.241	   286.138	     6.255	
   220	 0.917	    22.980	   248.861	     0.492	     1.774	   286.125	     6.797	
   221	 0.921	    23.520	   249.123	     0.491	     1.244	   286.634	     6.259	
   222	 0.925	    22.978	   248.871	    -0.046	     1.781	   286.381	     6.261	
   223	 0.929	    22.975	   248.351	    -0.051	     1.775	   286.876	     7.341	
   224	 0.933	    23.518	   248.869	     0.489	     1.785	   287.135	     6.267	
   225	 0.938	    23.516	   248.868	    -0.049	     2.325	   286.636	     5.730	
   226	 0.942	    23.520	   249.128	     0.491	     1.243	   287.134	     6.801	
   227	 0.946	    23.516	   248.344	     0.485	     1.243	   287.134	     6.801	
   228	 0.950	    22.977	   248.611	    -0.049	     0.711	   287.392	     6.260	
   229	 0.954	    24.596	   249.123	     0.487	     1.779	   286.878	     6.803	
   230	 0.958	    23.514	   248.084	     0.482	     1.781	   287.876	     7.349	
   231	 0.962	    23.517	   248.079	     1.020	     1.788	   287.636	     6.271	
   232	 0.967	    23.514	   248.084	     0.482	     0.713	   286.894	     5.718	
   233	 0.971	    22.974	   248.086	    -0.053	     0.708	   287.639	     6.800	
   234	 0.975	    23.515	   248.338	     0.485	     0.178	   287.397	     5.718	
   235	 0.979	    23.514	   248.078	     0.482	     0.709	   287.139	     6.258	
   236	 0.983	    22.972	   247.832	    -0.055	     1.249	   287.386	     6.265	
   237	 0.988	    22.436	   248.089	    -0.051	     1.782	   287.378	     6.807	
   238	 0.992	    22.972	   247.826	    -0.055	     1.249	   287.386	     6.265	
   239	 0.996	    23.519	   248.598	     1.025	     1.249	   287.386	     6.265	
   240	 1.000	    22.971	   247.561	    -0.058	     1.247	   287.137	     6.263	
   241	 1.004	    23.514	   248.078	     0.482	     0.717	   287.645	     5.724	
   242	 1.008	    22.971	   247.566	    -0.058	     0.722	   288.398	     5.730	
   243	 1.013	    22.977	   248.341	     0.487	     1.792	   288.138	     6.275	
   244	 1.017	    22.972	   247.296	     0.478	     0.182	   288.153	     5.724	
   245	 1.021	    22.970	   247.307	    -0.060	     0.720	   288.150	     5.728	
   246	 1.025	    23.518	   248.863	     0.489	     1.254	   288.142	     6.271	
   247	 1.029	    24.048	   247.291	     0.473	     0.719	   287.899	     5.726	
   248	 1.033	    22.967	   246.782	    -0.064	     0.716	   288.146	     6.266	
   249	 1.038	    24.046	   247.031	     0.471	     1.258	   288.147	     5.733	
