BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	1
Frequency:    	240 Hz
Frames:       	2737
Start time:   	0.000

 Frame	  Time	    r gr.X	    r gr.Y	    r gr.Z	
   184	 0.767	    -0.091	     0.008	    -0.179	
   185	 0.771	    -0.091	     0.008	    -0.178	
   186	 0.775	    -0.092	     0.008	    -0.180	
   187	 0.779	    -0.092	     0.008	    -0.179	
   188	 0.783	    -0.092	     0.008	    -0.180	
   189	 0.788	    -0.092	     0.008	    -0.179	
   190	 0.792	    -0.092	     0.008	    -0.178	
   191	 0.796	    -0.092	     0.008	    -0.178	
   192	 0.800	    -0.092	     0.008	    -0.178	
   193	 0.804	    -0.092	     0.008	    -0.178	
   194	 0.808	    -0.092	     0.008	    -0.177	
   195	 0.813	    -0.092	     0.008	    -0.177	
   196	 0.817	    -0.092	     0.008	    -0.178	
   197	 0.821	    -0.092	     0.008	    -0.177	
   198	 0.825	    -0.092	     0.008	    -0.176	
   199	 0.829	    -0.092	     0.008	    -0.176	
   200	 0.833	    -0.092	     0.008	    -0.176	
   201	 0.837	    -0.092	     0.008	    -0.176	
   202	 0.842	    -0.092	     0.008	    -0.177	
   203	 0.846	    -0.092	     0.008	    -0.175	
   204	 0.850	    -0.092	     0.008	    -0.176	
   205	 0.854	    -0.092	     0.008	    -0.176	
   206	 0.858	    -0.092	     0.008	    -0.176	
   207	 0.863	    -0.092	     0.008	    -0.176	
   208	 0.867	    -0.092	     0.008	    -0.177	
   209	 0.871	    -0.093	     0.008	    -0.176	
   210	 0.875	    -0.092	     0.008	    -0.176	
   211	 0.879	    -0.092	     0.008	    -0.176	
   212	 0.883	    -0.093	     0.008	    -0.176	
   213	 0.887	    -0.092	     0.008	    -0.175	
   214	 0.892	    -0.093	     0.008	    -0.176	
   215	 0.896	    -0.093	     0.008	    -0.176	
   216	 0.900	    -0.092	     0.008	    -0.176	
   217	 0.904	    -0.092	     0.008	    -0.176	
   218	 0.908	    -0.092	     0.008	    -0.176	
   219	 0.913	    -0.092	     0.008	    -0.176	
   220	 0.917	    -0.092	     0.008	    -0.175	
   221	 0.921	    -0.092	     0.008	    -0.176	
   222	 0.925	    -0.092	     0.008	    -0.175	
   223	 0.929	    -0.092	     0.008	    -0.176	
   224	 0.933	    -0.093	     0.008	    -0.176	
   225	 0.938	    -0.092	     0.008	    -0.176	
   226	 0.942	    -0.093	     0.008	    -0.176	
   227	 0.946	    -0.092	     0.008	    -0.176	
   228	 0.950	    -0.093	     0.008	    -0.175	
